from_module_machine_name,description,quality,version_major,from_version,from_project_machine_name,to_module_machine_name,from_project_reference,title,from_module_reference
ec_availability,NA,ok,6,6.x-4.6,ecommerce,ec_product,ecommerce,Module ec_availability 6-ok from project ecommerce depends on module ec_product,Module ec_availability 6-ok from project ecommerce
ec_availability,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_availability 6-ok from project ecommerce depends on module ctools,Module ec_availability 6-ok from project ecommerce
ec_address,NA,ok,6,6.x-4.6,ecommerce,ec_customer,ecommerce,Module ec_address 6-ok from project ecommerce depends on module ec_customer,Module ec_address 6-ok from project ecommerce
ec_address,NA,ok,6,6.x-4.6,ecommerce,ec_store,ecommerce,Module ec_address 6-ok from project ecommerce depends on module ec_store,Module ec_address 6-ok from project ecommerce
ec_address,NA,ok,6,6.x-4.6,ecommerce,views,ecommerce,Module ec_address 6-ok from project ecommerce depends on module views,Module ec_address 6-ok from project ecommerce
ec_address,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_address 6-ok from project ecommerce depends on module ctools,Module ec_address 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,token,ecommerce,Module ec_store 6-ok from project ecommerce depends on module token,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,ec_customer,ecommerce,Module ec_store 6-ok from project ecommerce depends on module ec_customer,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,ec_anon,ecommerce,Module ec_store 6-ok from project ecommerce depends on module ec_anon,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,ec_product,ecommerce,Module ec_store 6-ok from project ecommerce depends on module ec_product,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,views,ecommerce,Module ec_store 6-ok from project ecommerce depends on module views,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,views_bulk_operations,ecommerce,Module ec_store 6-ok from project ecommerce depends on module views_bulk_operations,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,rules,ecommerce,Module ec_store 6-ok from project ecommerce depends on module rules,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,rules_scheduler,ecommerce,Module ec_store 6-ok from project ecommerce depends on module rules_scheduler,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,search,ecommerce,Module ec_store 6-ok from project ecommerce depends on module search,Module ec_store 6-ok from project ecommerce
ec_store,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_store 6-ok from project ecommerce depends on module ctools,Module ec_store 6-ok from project ecommerce
ec_cart,NA,ok,6,6.x-4.6,ecommerce,ec_common,ecommerce,Module ec_cart 6-ok from project ecommerce depends on module ec_common,Module ec_cart 6-ok from project ecommerce
ec_cart,NA,ok,6,6.x-4.6,ecommerce,ec_product,ecommerce,Module ec_cart 6-ok from project ecommerce depends on module ec_product,Module ec_cart 6-ok from project ecommerce
ec_cart,NA,ok,6,6.x-4.6,ecommerce,ec_checkout,ecommerce,Module ec_cart 6-ok from project ecommerce depends on module ec_checkout,Module ec_cart 6-ok from project ecommerce
ec_cart,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_cart 6-ok from project ecommerce depends on module ctools,Module ec_cart 6-ok from project ecommerce
ec_checkout,NA,ok,6,6.x-4.6,ecommerce,ec_product,ecommerce,Module ec_checkout 6-ok from project ecommerce depends on module ec_product,Module ec_checkout 6-ok from project ecommerce
ec_checkout,NA,ok,6,6.x-4.6,ecommerce,ec_store,ecommerce,Module ec_checkout 6-ok from project ecommerce depends on module ec_store,Module ec_checkout 6-ok from project ecommerce
ec_checkout,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_checkout 6-ok from project ecommerce depends on module ctools,Module ec_checkout 6-ok from project ecommerce
ec_anon,NA,ok,6,6.x-4.6,ecommerce,ec_common,ecommerce,Module ec_anon 6-ok from project ecommerce depends on module ec_common,Module ec_anon 6-ok from project ecommerce
ec_anon,NA,ok,6,6.x-4.6,ecommerce,ec_product,ecommerce,Module ec_anon 6-ok from project ecommerce depends on module ec_product,Module ec_anon 6-ok from project ecommerce
ec_anon,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_anon 6-ok from project ecommerce depends on module ctools,Module ec_anon 6-ok from project ecommerce
ec_buynow,NA,ok,6,6.x-4.6,ecommerce,ec_checkout,ecommerce,Module ec_buynow 6-ok from project ecommerce depends on module ec_checkout,Module ec_buynow 6-ok from project ecommerce
ec_buynow,NA,ok,6,6.x-4.6,ecommerce,ec_product,ecommerce,Module ec_buynow 6-ok from project ecommerce depends on module ec_product,Module ec_buynow 6-ok from project ecommerce
ec_buynow,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_buynow 6-ok from project ecommerce depends on module ctools,Module ec_buynow 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,ec_customer,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module ec_customer,Module ec_receipt 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,ec_common,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module ec_common,Module ec_receipt 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,views,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module views,Module ec_receipt 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,views_bulk_operations,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module views_bulk_operations,Module ec_receipt 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,rules,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module rules,Module ec_receipt 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,search,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module search,Module ec_receipt 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,ctools,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module ctools,Module ec_receipt 6-ok from project ecommerce
ec_receipt,NA,ok,6,6.x-4.6,ecommerce,date_api,ecommerce,Module ec_receipt 6-ok from project ecommerce depends on module date_api,Module ec_receipt 6-ok from project ecommerce
ec_receipt_test_payment,NA,ok,6,6.x-4.6,ecommerce,ec_receipt,ecommerce,Module ec_receipt_test_payment 6-ok from project ecommerce depends on module ec_receipt,Module ec_receipt_test_payment 6-ok from project ecommerce
sticky_notes,NA,ok,6,6.x-1.1,sticky_notes,modalframe,sticky_notes,Module sticky_notes 6-ok from project sticky_notes depends on module modalframe,Module sticky_notes 6-ok from project sticky_notes
uc_flo2cash,NA,ok,6,6.x-1.1,uc_flo2cash,uc_payment,uc_flo2cash,Module uc_flo2cash 6-ok from project uc_flo2cash depends on module uc_payment,Module uc_flo2cash 6-ok from project uc_flo2cash
nodelocation_relationship,NA,ok,6,6.x-1.0-beta3,nodelocation_relationship,nodereference,nodelocation_relationship,Module nodelocation_relationship 6-ok from project nodelocation_relationship depends on module nodereference,Module nodelocation_relationship 6-ok from project nodelocation_relationship
nodelocation_relationship,NA,ok,6,6.x-1.0-beta3,nodelocation_relationship,views,nodelocation_relationship,Module nodelocation_relationship 6-ok from project nodelocation_relationship depends on module views,Module nodelocation_relationship 6-ok from project nodelocation_relationship
nodelocation_relationship,NA,ok,6,6.x-1.0-beta3,nodelocation_relationship,location,nodelocation_relationship,Module nodelocation_relationship 6-ok from project nodelocation_relationship depends on module location,Module nodelocation_relationship 6-ok from project nodelocation_relationship
filefield_sources,NA,ok,6,6.x-1.8,filefield_sources,filefield,filefield_sources,Module filefield_sources 6-ok from project filefield_sources depends on module filefield,Module filefield_sources 6-ok from project filefield_sources
gauth,NA,ok,6,6.x-1.0-rc1,gauth,oauth_common,gauth,Module gauth 6-ok from project gauth depends on module oauth_common,Module gauth 6-ok from project gauth
views_perm,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_perm 6-ok from project views_hacks depends on module views,Module views_perm 6-ok from project views_hacks
views_summary_taxonomy,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_summary_taxonomy 6-ok from project views_hacks depends on module views,Module views_summary_taxonomy 6-ok from project views_hacks
views_summary_taxonomy,NA,ok,6,6.x-1.0-beta2,views_hacks,taxonomy,views_hacks,Module views_summary_taxonomy 6-ok from project views_hacks depends on module taxonomy,Module views_summary_taxonomy 6-ok from project views_hacks
views_display_block_path,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_display_block_path 6-ok from project views_hacks depends on module views,Module views_display_block_path 6-ok from project views_hacks
views_block,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_block 6-ok from project views_hacks depends on module views,Module views_block 6-ok from project views_hacks
views_block,NA,ok,6,6.x-1.0-beta2,views_hacks,block,views_hacks,Module views_block 6-ok from project views_hacks depends on module block,Module views_block 6-ok from project views_hacks
views_block,NA,ok,6,6.x-1.0-beta2,views_hacks,views_bulk_operations,views_hacks,Module views_block 6-ok from project views_hacks depends on module views_bulk_operations,Module views_block 6-ok from project views_hacks
views_filters_selective,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_filters_selective 6-ok from project views_hacks depends on module views,Module views_filters_selective 6-ok from project views_hacks
views_filters_reset,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_filters_reset 6-ok from project views_hacks depends on module views,Module views_filters_reset 6-ok from project views_hacks
views_flipped_table,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_flipped_table 6-ok from project views_hacks depends on module views,Module views_flipped_table 6-ok from project views_hacks
views_filters_autosubmit,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_filters_autosubmit 6-ok from project views_hacks depends on module views,Module views_filters_autosubmit 6-ok from project views_hacks
views_autorefresh,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_autorefresh 6-ok from project views_hacks depends on module views,Module views_autorefresh 6-ok from project views_hacks
views_composite_exposed_form,NA,ok,6,6.x-1.0-beta2,views_hacks,views,views_hacks,Module views_composite_exposed_form 6-ok from project views_hacks depends on module views,Module views_composite_exposed_form 6-ok from project views_hacks
special_menu_items,NA,ok,6,6.x-1.6,special_menu_items,menu,special_menu_items,Module special_menu_items 6-ok from project special_menu_items depends on module menu,Module special_menu_items 6-ok from project special_menu_items
uc_adyen,NA,ok,6,6.x-1.0,uc_adyen,uc_payment,uc_adyen,Module uc_adyen 6-ok from project uc_adyen depends on module uc_payment,Module uc_adyen 6-ok from project uc_adyen
uc_bitcoin,NA,ok,6,6.x-1.01,uc_bitcoin,uc_order,uc_bitcoin,Module uc_bitcoin 6-ok from project uc_bitcoin depends on module uc_order,Module uc_bitcoin 6-ok from project uc_bitcoin
uc_bitcoin,NA,ok,6,6.x-1.01,uc_bitcoin,uc_payment,uc_bitcoin,Module uc_bitcoin 6-ok from project uc_bitcoin depends on module uc_payment,Module uc_bitcoin 6-ok from project uc_bitcoin
taxonomy_csv,NA,ok,6,6.x-5.10,taxonomy_csv,taxonomy,taxonomy_csv,Module taxonomy_csv 6-ok from project taxonomy_csv depends on module taxonomy,Module taxonomy_csv 6-ok from project taxonomy_csv
taxonomy_blocks,NA,ok,6,6.x-1.0-beta2,taxonomy_blocks,taxonomy,taxonomy_blocks,Module taxonomy_blocks 6-ok from project taxonomy_blocks depends on module taxonomy,Module taxonomy_blocks 6-ok from project taxonomy_blocks
taxonomy_blocks,NA,ok,6,6.x-1.0-beta2,taxonomy_blocks,block,taxonomy_blocks,Module taxonomy_blocks 6-ok from project taxonomy_blocks depends on module block,Module taxonomy_blocks 6-ok from project taxonomy_blocks
insertFrame,NA,ok,6,6.x-2.0,insertFrame,filter,insertFrame,Module insertFrame 6-ok from project insertFrame depends on module filter,Module insertFrame 6-ok from project insertFrame
view_alias,NA,ok,6,6.x-2.2,view_alias,pathauto,view_alias,Module view_alias 6-ok from project view_alias depends on module pathauto,Module view_alias 6-ok from project view_alias
view_alias,NA,ok,6,6.x-2.2,view_alias,views,view_alias,Module view_alias 6-ok from project view_alias depends on module views,Module view_alias 6-ok from project view_alias
cloud_zoom,NA,ok,6,6.x-1.0,cloud_zoom,imagefield,cloud_zoom,Module cloud_zoom 6-ok from project cloud_zoom depends on module imagefield,Module cloud_zoom 6-ok from project cloud_zoom
cloud_zoom,NA,ok,6,6.x-1.0,cloud_zoom,imagecache,cloud_zoom,Module cloud_zoom 6-ok from project cloud_zoom depends on module imagecache,Module cloud_zoom 6-ok from project cloud_zoom
comment_perm,NA,ok,6,6.x-1.0,comment_perm,comment,comment_perm,Module comment_perm 6-ok from project comment_perm depends on module comment,Module comment_perm 6-ok from project comment_perm
img_assist,NA,ok,6,6.x-2.0-alpha4,img_assist,image,img_assist,Module img_assist 6-ok from project img_assist depends on module image,Module img_assist 6-ok from project img_assist
img_assist,NA,ok,6,6.x-2.0-alpha4,img_assist,views,img_assist,Module img_assist 6-ok from project img_assist depends on module views,Module img_assist 6-ok from project img_assist
nodereference_explorer,NA,ok,6,6.x-1.6,nodereference_explorer,content,nodereference_explorer,Module nodereference_explorer 6-ok from project nodereference_explorer depends on module content,Module nodereference_explorer 6-ok from project nodereference_explorer
nodereference_explorer,NA,ok,6,6.x-1.6,nodereference_explorer,nodereference,nodereference_explorer,Module nodereference_explorer 6-ok from project nodereference_explorer depends on module nodereference,Module nodereference_explorer 6-ok from project nodereference_explorer
nodereference_explorer,NA,ok,6,6.x-1.6,nodereference_explorer,jquery_ui,nodereference_explorer,Module nodereference_explorer 6-ok from project nodereference_explorer depends on module jquery_ui,Module nodereference_explorer 6-ok from project nodereference_explorer
